City,Product Type,Trip or Order Status,Request Time,Begin Trip Time,Begin Trip Lat,Begin Trip Lng,Begin Trip Address,Dropoff Time,Dropoff Lat,Dropoff Lng,Dropoff Address,Distance (miles),Fare Amount,Fare Currency
Bucharest,Comfort,COMPLETED,2024-05-10 15:47:01 +0000 UTC,2024-05-10 15:49:08 +0000 UTC,44.439907,26.108414,"Str. Batiștei 36, București 030167, Romania",2024-05-10 15:58:50 +0000 UTC,44.436237,26.127989,"Strada Duzilor 12, București 021472, Romania",1.65,11,RON
Bucharest,Black,COMPLETED,2024-04-14 20:31:36 +0000 UTC,2024-04-14 20:34:51 +0000 UTC,44.433315,26.09771,"Calea Victoriei 21, București 030167, Romania",2024-04-14 20:41:57 +0000 UTC,44.435276,26.125618,"Strada Țepeș Vodă nr. 68-70, București 021526, Romania",1.9,30.1,RON
Bucharest,UberX,COMPLETED,2024-04-02 08:25:44 +0000 UTC,2024-04-02 08:27:35 +0000 UTC,44.435276,26.12559,"Strada Țepeș Vodă 70, București 030167, Romania",2024-04-02 09:00:39 +0000 UTC,44.439083,26.035404,"Șoseaua Virtuții 16, București, Romania",5.47,20.7,RON
Bucharest,UberX,COMPLETED,2024-04-01 09:36:00 +0000 UTC,2024-04-01 09:38:55 +0000 UTC,44.430325,26.107573,"Strada Sfânta Vineri 23, București 030167, Romania",2024-04-01 09:42:56 +0000 UTC,44.43527,26.125648,"Strada Țepeș Vodă nr. 68-70, București 021526, Romania",1.03,13.86,RON
Bucharest,UberX,COMPLETED,2024-03-05 14:22:32 +0000 UTC,2024-03-05 14:26:39 +0000 UTC,44.433075,26.074928,"Strada Sfântul Elefterie 15, București, Romania",2024-03-05 14:53:34 +0000 UTC,44.435196,26.125393,"Strada Țepeș Vodă nr. 68-70, București 021526, Romania",2.81,13.31,RON
Bucharest,Comfort,COMPLETED,2024-03-05 13:07:18 +0000 UTC,2024-03-05 13:10:53 +0000 UTC,44.435253,26.12562,"Strada Țepeș Vodă nr. 68-70, București 021526, Romania",2024-03-05 13:29:14 +0000 UTC,44.4317,26.071993,"Strada Doctor Louis Pasteur nr 56, București 050526, Romania",3.28,14.75,RON
Bucharest,UberX,COMPLETED,2024-02-07 14:42:36 +0000 UTC,2024-02-07 14:45:02 +0000 UTC,44.43524,26.125546,"Strada Țepeș Vodă nr. 68-70, București 021526, Romania",2024-02-07 15:25:15 +0000 UTC,44.50245,26.074198,"Bulevardul Ion Ionescu de la Brad, București 013811, Romania",6.46,38.91,RON
Cluj,UberX,COMPLETED,2023-12-16 17:11:33 +0000 UTC,2023-12-16 17:17:16 +0000 UTC,46.7698,23.583986,"Strada Sindicatelor 9-13, Cluj-Napoca 400029, Romania",2023-12-16 17:25:43 +0000 UTC,46.77277,23.589005,"Strada Regele Ferdinand 23, Cluj-Napoca 400110, Romania",0.78,9,RON
Cluj,UberX,COMPLETED,2023-12-15 23:28:28 +0000 UTC,2023-12-15 23:30:50 +0000 UTC,46.767643,23.576233,"Parcul Central, Cluj-Napoca, Romania",2023-12-15 23:49:17 +0000 UTC,46.76975,23.583866,"Strada Sindicatelor 9-13, Cluj-Napoca 400029, Romania",2.46,21.85,RON
Cluj,UberX,COMPLETED,2023-12-15 17:42:51 +0000 UTC,2023-12-15 17:47:05 +0000 UTC,46.76978,23.58381,"Strada Sindicatelor 9-13, Cluj-Napoca 400029, Romania",2023-12-15 17:52:18 +0000 UTC,46.76759,23.57585,"Parcul Central, Cluj-Napoca, Romania",0.81,9,RON
Bucharest,Comfort,CANCELED,2023-12-13 21:44:56 +0000 UTC,1970-01-01 00:00:00 +0000 UTC,44.4429,26.121307,"Strada Iancu Căpitanu 30, București 030167, Romania",1970-01-01 00:00:00 +0000 UTC,44.4429,26.121307,"Strada Iancu Căpitanu 30, București 030167, Romania",0,0,RON
Bucharest,UberX,COMPLETED,2023-12-13 17:38:29 +0000 UTC,2023-12-13 17:44:42 +0000 UTC,44.435215,26.125618,"Strada Țepeș Vodă nr. 68-70, București 021526, Romania",2023-12-13 17:49:07 +0000 UTC,44.4429,26.12128,"Strada Iancu Căpitanu 30, București 030167, Romania",0.81,9.6,RON
Bucharest,Comfort,COMPLETED,2023-12-12 09:07:34 +0000 UTC,2023-12-12 09:09:49 +0000 UTC,44.43525,26.125639,"Strada Țepeș Vodă nr. 68-70, București 021526, Romania",2023-12-12 09:24:55 +0000 UTC,44.44005,26.109095,"UTI Business Center, Strada Vasile Lascăr 31, București 030167, Romania",1.26,10.45,RON
London,UberX,COMPLETED,2023-12-08 13:38:53 +0000 UTC,2023-12-08 13:48:12 +0000 UTC,51.89042,0.2649498,"Stansted, CM24 1QW, GB",2023-12-08 14:48:05 +0000 UTC,51.512817,-0.0756073,"London, EC3N 1AX, GB",36,62.9,GBP
Bucharest,UberX,COMPLETED,2023-12-06 07:58:42 +0000 UTC,2023-12-06 08:01:27 +0000 UTC,44.43519,26.125343,"Strada Țepeș Vodă nr. 68-70, București 021526, Romania",2023-12-06 08:20:52 +0000 UTC,44.438503,26.108334,"S.da Italiană 16, București 030167, Romania",1.13,8.8,RON
Bucharest,UberX,CANCELED,2023-11-28 16:18:55 +0000 UTC,1970-01-01 00:00:00 +0000 UTC,44.50642,26.088488,"Șoseaua București-Ploiești 42D, București 077190, Romania",1970-01-01 00:00:00 +0000 UTC,44.50642,26.088488,"Șoseaua București-Ploiești 42D, București 077190, Romania",0,0,RON
Bucharest,UberX,COMPLETED,2023-11-28 13:47:23 +0000 UTC,2023-11-28 13:55:27 +0000 UTC,44.498592,26.072151,"Bulevardul Ion Ionescu de la Brad 5, București 077190, Romania",2023-11-28 14:06:47 +0000 UTC,44.506363,26.088188,"Șoseaua București-Ploiești 42D, București 015011, Romania",1.62,15.8,RON
Bucharest,UberX,COMPLETED,2023-11-27 09:55:27 +0000 UTC,2023-11-27 10:08:13 +0000 UTC,44.394207,26.099262,"Str. Crisul Alb, 35, Bucuresti-Sector 4, Bucuresti, 40727, București, Romania",2023-11-27 10:32:41 +0000 UTC,44.439796,26.108364,"UTI Business Center, Strada Vasile Lascăr 31, București 030167, Romania",3.87,21.91,RON
Bucharest,UberX,COMPLETED,2023-11-23 19:03:00 +0000 UTC,2023-11-23 19:06:36 +0000 UTC,44.42459,26.16119,"Str. Liviu Rebreanu 25, București, Romania",2023-11-23 19:10:01 +0000 UTC,44.43551,26.16255,"Bulevardul Basarabia 170-174, București 077085, Romania",0.95,8,RON
Bucharest,UberX,COMPLETED,2023-11-23 17:34:06 +0000 UTC,2023-11-23 17:36:03 +0000 UTC,44.44224,26.109118,"Strada Vasile Lascăr 57, București 030167, Romania",2023-11-23 18:00:35 +0000 UTC,44.424564,26.160646,"Str. Liviu Rebreanu 2, București, Romania",3.92,20.43,RON
Bucharest,Comfort,COMPLETED,2023-11-22 17:46:18 +0000 UTC,2023-11-22 17:47:56 +0000 UTC,44.442097,26.110254,"Strada Maria Rosetti 41, București 030167, Romania",2023-11-22 17:52:29 +0000 UTC,44.436348,26.11647,"Strada Plantelor 26, București 030167, Romania",0.9,15.24,RON
Bucharest,,CANCELED,2023-11-12 22:26:11 +0000 UTC,1970-01-01 00:00:00 +0000 UTC,44.569595,26.076405,"Aeroportul Otopeni-Henri Coandă Plecări, Calea Bucureștilor nr. 224, Otopeni 075100, Romania",1970-01-01 00:00:00 +0000 UTC,44.569595,26.076405,"Aeroportul Otopeni-Henri Coandă Plecări, Calea Bucureștilor nr. 224, Otopeni 075100, Romania",,,
Bucharest,UberX,COMPLETED,2023-11-04 14:09:29 +0000 UTC,2023-11-04 14:11:30 +0000 UTC,44.439697,26.108284,"Str. Batiștei 36, București 030167, Romania",2023-11-04 14:22:50 +0000 UTC,44.44319,26.151743,"Bulevardul Pierre de Coubertin 3-5, București 021901, Romania",2.43,9.59,RON
Bucharest,UberX,COMPLETED,2023-11-03 22:16:44 +0000 UTC,2023-11-03 22:20:06 +0000 UTC,44.44822,26.17297,"Bucharest, Romania",2023-11-03 22:29:14 +0000 UTC,44.43528,26.12563,"Strada Țepeș Vodă nr. 68-70, București 021526, Romania",3.35,9.5,RON
Bucharest,Comfort,COMPLETED,2023-11-02 19:18:09 +0000 UTC,2023-11-02 19:20:59 +0000 UTC,44.433495,26.098011,"Calea Victoriei 21, București 030167, Romania",2023-11-02 19:32:16 +0000 UTC,44.435318,26.12557,"Strada Țepeș Vodă nr. 68-70, București 021526, Romania",2.19,11.3,RON
Bucharest,Comfort,COMPLETED,2023-10-30 17:35:50 +0000 UTC,2023-10-30 17:38:38 +0000 UTC,44.432583,26.097406,"Calea Victoriei 12D, București 030026, Romania",2023-10-30 17:58:58 +0000 UTC,44.417713,26.146227,"Bucharest, Romania",4.09,20.7,RON
Bucharest,UberX,COMPLETED,2023-10-29 14:57:52 +0000 UTC,2023-10-29 15:00:25 +0000 UTC,44.42458,26.161007,"Str. Liviu Rebreanu 6, București, Romania",2023-10-29 15:04:36 +0000 UTC,44.435516,26.162624,"Bulevardul Basarabia 170-174, București 077085, Romania",0.96,11.2,RON
Bucharest,Comfort,COMPLETED,2023-10-28 13:21:52 +0000 UTC,2023-10-28 13:27:56 +0000 UTC,44.434986,26.100107,"Bulevardul Regina Elisabeta 12, București 030167, Romania",2023-10-28 13:33:49 +0000 UTC,44.435253,26.125618,"Strada Țepeș Vodă nr. 68-70, București 021526, Romania",1.54,11.3,RON
Bucharest,Comfort,COMPLETED,2023-10-25 18:41:34 +0000 UTC,2023-10-25 18:42:57 +0000 UTC,44.433445,26.097954,"Calea Victoriei 21, București 030167, Romania",2023-10-25 19:08:06 +0000 UTC,44.417744,26.157269,"Strada Lotrioara 37, București, Romania",4.89,20.05,RON
Bucharest,Comfort,COMPLETED,2023-10-25 15:42:02 +0000 UTC,2023-10-25 15:52:37 +0000 UTC,44.43335,26.094755,"Strada Ion Brezoianu 4, București 050023, Romania",2023-10-25 16:16:56 +0000 UTC,44.43522,26.125614,"Strada Țepeș Vodă nr. 68-70, București 021526, Romania",2.93,18.79,RON
Bucharest,,CANCELED,2023-10-18 16:11:20 +0000 UTC,1970-01-01 00:00:00 +0000 UTC,44.43541,26.126411,"Strada Țepeș Vodă 80, București 030167, Romania",1970-01-01 00:00:00 +0000 UTC,44.43541,26.126411,"Strada Țepeș Vodă 80, București 030167, Romania",,,
Bucharest,Comfort,COMPLETED,2023-10-15 17:55:54 +0000 UTC,2023-10-15 18:00:41 +0000 UTC,44.42548,26.20914,"Strada Culesului 69, București, Romania",2023-10-15 18:17:16 +0000 UTC,44.43527,26.12554,"Strada Țepeș Vodă nr. 68-70, București 021526, Romania",5.25,18.91,RON
Bucharest,Comfort,COMPLETED,2023-10-15 08:54:24 +0000 UTC,2023-10-15 08:57:55 +0000 UTC,44.435272,26.12566,"Strada Țepeș Vodă nr. 68-70, București 021526, Romania",2023-10-15 09:09:57 +0000 UTC,44.43371,26.099737,"Calea Victoriei 28, București 030167, Romania",1.72,13.2,RON
Bucharest,UberX,COMPLETED,2023-10-14 17:55:04 +0000 UTC,2023-10-14 17:59:41 +0000 UTC,44.424637,26.16143,"Str. Liviu Rebreanu 6a, București, Romania",2023-10-14 18:04:12 +0000 UTC,44.435513,26.162554,"Bulevardul Basarabia 170-174, București 077085, Romania",0.94,8.8,RON
Bucharest,UberX,COMPLETED,2023-10-12 16:54:50 +0000 UTC,2023-10-12 16:57:12 +0000 UTC,44.43527,26.125685,"Strada Țepeș Vodă 70, București 030167, Romania",2023-10-12 17:11:25 +0000 UTC,44.41759,26.147984,"Bulevardul Camil Ressu 29, București, Romania",2.83,10.13,RON
Bucharest,Comfort,COMPLETED,2023-10-10 16:27:56 +0000 UTC,2023-10-10 16:32:41 +0000 UTC,44.393833,26.121754,"Șoseaua Olteniței 210, București, Romania",2023-10-10 16:47:24 +0000 UTC,44.435223,26.125359,"Strada Țepeș Vodă nr. 68-70, București 021526, Romania",3.3,13,RON
Bucharest,Comfort,COMPLETED,2023-10-08 13:30:04 +0000 UTC,2023-10-08 13:31:10 +0000 UTC,44.42194,26.149475,"Bloc 50, Str. Liviu Rebreanu 9, București 031773, Romania",2023-10-08 13:37:27 +0000 UTC,44.435234,26.125425,"Strada Țepeș Vodă nr. 68-70, București 021526, Romania",2.06,11,RON
Bucharest,Comfort,COMPLETED,2023-10-07 13:49:29 +0000 UTC,2023-10-07 13:54:29 +0000 UTC,44.435238,26.12565,"Strada Țepeș Vodă nr. 68-70, București 021526, Romania",2023-10-07 14:03:42 +0000 UTC,44.424576,26.161194,"Str. Liviu Rebreanu 6A, București 031784, Romania",2.61,12,RON
Bucharest,Comfort,COMPLETED,2023-10-06 19:55:42 +0000 UTC,2023-10-06 19:59:33 +0000 UTC,44.43376,26.098083,"Calea Victoriei 22-24, București 030027, Romania",2023-10-06 20:09:55 +0000 UTC,44.435265,26.125654,"Strada Țepeș Vodă nr. 68-70, București 021526, Romania",1.92,12.43,RON
Bucharest,UberX,COMPLETED,2023-10-06 14:55:22 +0000 UTC,2023-10-06 15:01:49 +0000 UTC,44.435253,26.125612,"Strada Țepeș Vodă 70, București 030167, Romania",2023-10-06 15:19:15 +0000 UTC,44.424576,26.161287,"Str. Liviu Rebreanu 2, București, Romania",2.57,13.71,RON
Bucharest,Black,COMPLETED,2023-10-04 16:43:59 +0000 UTC,2023-10-04 16:47:07 +0000 UTC,44.424595,26.161325,"Str. Liviu Rebreanu 2, București, Romania",2023-10-04 16:58:29 +0000 UTC,44.43526,26.125595,"Strada Țepeș Vodă nr. 68-70, București 021526, Romania",2.68,25,RON
Bucharest,Comfort,COMPLETED,2023-09-22 21:09:51 +0000 UTC,2023-09-22 21:15:12 +0000 UTC,44.43513,26.10071,"Bucharest, Romania",2023-09-22 21:24:30 +0000 UTC,44.43528,26.125706,"Strada Țepeș Vodă nr. 68-70, București 021526, Romania",1.46,12.43,RON
Bucharest,Comfort,COMPLETED,2023-09-22 19:01:27 +0000 UTC,2023-09-22 19:04:57 +0000 UTC,44.43036,26.17346,"Bucharest, Romania",2023-09-22 19:23:43 +0000 UTC,44.43393,26.09387,"Bulevardul Regina Elisabeta 38, București 050017, Romania",4.89,21.21,RON
Bucharest,UberX,COMPLETED,2023-09-16 14:18:00 +0000 UTC,2023-09-16 14:18:47 +0000 UTC,44.43525,26.125662,"Strada Țepeș Vodă nr. 68-70, București 021526, Romania",2023-09-16 14:32:26 +0000 UTC,44.431396,26.174774,"Bulevardul 1 Decembrie 1918 1J, București 032463, Romania",3.41,18.87,RON
Bucharest,UberX,CANCELED,2023-09-13 16:57:33 +0000 UTC,1970-01-01 00:00:00 +0000 UTC,44.42875,26.053812,"061344 Bucharest, Romania",1970-01-01 00:00:00 +0000 UTC,44.42875,26.053812,"061344 Bucharest, Romania",0,0,RON
Bucharest,Comfort,COMPLETED,2023-09-07 18:00:24 +0000 UTC,2023-09-07 18:04:18 +0000 UTC,44.433857,26.098122,"Calea Victoriei 26, București 030027, Romania",2023-09-07 18:14:55 +0000 UTC,44.43525,26.12555,"Strada Țepeș Vodă nr. 68-70, București 021526, Romania",1.93,18.08,RON
Bucharest,UberX,COMPLETED,2023-09-06 15:57:00 +0000 UTC,2023-09-06 15:57:28 +0000 UTC,44.432915,26.096846,"Strada Lipscani 17, București 030167, Romania",2023-09-06 16:08:56 +0000 UTC,44.43526,26.125599,"Strada Țepeș Vodă nr. 68-70, București 021526, Romania",1.89,14.4,RON
Bucharest,UberX,COMPLETED,2023-09-03 18:01:28 +0000 UTC,2023-09-03 18:11:33 +0000 UTC,44.42537,26.209124,"Strada Culesului 69, București, Romania",2023-09-03 18:25:52 +0000 UTC,44.43524,26.125416,"Strada Țepeș Vodă nr. 68-70, București 021526, Romania",4.68,15.46,RON
Bucharest,UberX,COMPLETED,2023-09-03 12:29:04 +0000 UTC,2023-09-03 12:30:38 +0000 UTC,44.373314,26.125599,"Drumul Binelui 33, București, Romania",2023-09-03 12:50:42 +0000 UTC,44.425503,26.209139,"Strada Culesului 69, București, Romania",7.67,28.27,RON
Bucharest,Comfort,COMPLETED,2023-08-31 17:59:39 +0000 UTC,2023-08-31 18:01:32 +0000 UTC,44.43386,26.098148,"Calea Victoriei 26, București 030027, Romania",2023-08-31 18:23:48 +0000 UTC,44.417225,26.15674,"Strada Lotrioara 37, București, Romania",4.82,25.59,RON
Bucharest,UberX,COMPLETED,2023-08-30 16:31:21 +0000 UTC,2023-08-30 16:33:12 +0000 UTC,44.44322,26.15158,"Șoseaua Pantelimon 242, București 021313, Romania",2023-08-30 16:43:08 +0000 UTC,44.43525,26.12534,"Strada Țepeș Vodă nr. 68-70, București 021526, Romania",2.74,10.4,RON
Bucharest,Comfort,COMPLETED,2023-08-24 17:42:47 +0000 UTC,2023-08-24 17:50:04 +0000 UTC,44.43513,26.101122,"Bucharest, Romania",2023-08-24 17:56:40 +0000 UTC,44.43524,26.125595,"Strada Țepeș Vodă nr. 68-70, București 021526, Romania",1.44,15.82,RON
Bucharest,Black,COMPLETED,2023-08-24 16:38:50 +0000 UTC,2023-08-24 16:44:54 +0000 UTC,44.435257,26.125635,"Strada Țepeș Vodă 70, București 030167, Romania",2023-08-24 16:55:37 +0000 UTC,44.434757,26.096485,"Bulevardul Regina Elisabeta 28, București 030167, Romania",1.73,26.6,RON
Cluj,Comfort,COMPLETED,2023-08-23 14:42:48 +0000 UTC,2023-08-23 14:46:01 +0000 UTC,46.76801,23.56281,"Bulevardul 1 Decembrie 1918 104, Cluj-Napoca 400535, Romania",2023-08-23 15:11:41 +0000 UTC,46.78203,23.68915,"Strada Traian Vuia 149-151, Cluj-Napoca 400397, Romania",7.2,56.31,RON
Cluj,UberX,COMPLETED,2023-08-22 23:25:32 +0000 UTC,2023-08-22 23:34:02 +0000 UTC,46.77044,23.588837,"DN1 22, Cluj-Napoca 400394, Romania",2023-08-22 23:44:11 +0000 UTC,46.759983,23.598206,"Calea Turzii 83, Cluj-Napoca 400193, Romania",2.87,15.11,RON
Cluj,UberX,COMPLETED,2023-08-22 11:02:06 +0000 UTC,2023-08-22 11:04:51 +0000 UTC,46.78182,23.6885,"DN1C, Cluj-Napoca 400394, Romania",2023-08-22 11:25:15 +0000 UTC,46.76806,23.56252,"Bulevardul 1 Decembrie 1918, Cluj-Napoca 400699, Romania",6.8,39.51,RON
Bucharest,Comfort,COMPLETED,2023-08-19 18:29:45 +0000 UTC,2023-08-19 18:36:03 +0000 UTC,44.362038,26.115068,"Drumul Binelui 246, București 042152, Romania",2023-08-19 18:58:02 +0000 UTC,44.435295,26.12568,"Strada Țepeș Vodă nr. 68-70, București 021526, Romania",6.32,35.05,RON
Bucharest,Black,CANCELED,2023-08-19 18:11:54 +0000 UTC,1970-01-01 00:00:00 +0000 UTC,,,,1970-01-01 00:00:00 +0000 UTC,,,,0,0,RON
Bucharest,Comfort,COMPLETED,2023-08-17 08:25:52 +0000 UTC,2023-08-17 08:28:51 +0000 UTC,44.4354,26.12537,"Strada Țepeș Vodă nr. 68-70, București 021526, Romania",2023-08-17 08:35:48 +0000 UTC,44.438465,26.108189,"S.da Italiană 16, București 030167, Romania",1.13,22,RON
Bucharest,Comfort,COMPLETED,2023-08-16 21:35:26 +0000 UTC,2023-08-16 21:41:49 +0000 UTC,44.56918,26.07675,"075100 Otopeni, Romania",2023-08-16 22:06:57 +0000 UTC,44.43528,26.12564,"Strada Țepeș Vodă nr. 68-70, București 021526, Romania",12.25,103.74,RON
Paris,Comfort,COMPLETED,2023-08-16 13:04:46 +0000 UTC,2023-08-16 13:06:10 +0000 UTC,48.87072,2.78338,Disneyland Paris,2023-08-16 13:53:26 +0000 UTC,49.01474,2.54266,"Terminal 1, 245 Dépose Minute Terminal 1, 77990 Mauregard, France",21.76,63.97,EUR
Bucharest,Comfort,COMPLETED,2023-08-07 09:03:49 +0000 UTC,2023-08-07 09:06:22 +0000 UTC,44.435257,26.125614,"Strada Țepeș Vodă 66, București 030167, Romania",2023-08-07 09:14:36 +0000 UTC,44.4365,26.106728,"Piața C. A. Rosetti 4, București 030167, Romania",1.2,20,RON
Bucharest,Comfort,COMPLETED,2023-08-06 15:55:39 +0000 UTC,2023-08-06 15:59:54 +0000 UTC,44.393776,26.121853,"Bucharest, Romania",2023-08-06 16:11:02 +0000 UTC,44.435226,26.125608,"Strada Țepeș Vodă nr. 68-70, București 021526, Romania",3.64,17.59,RON
Bucharest,Black,CANCELED,2023-08-06 15:53:26 +0000 UTC,1970-01-01 00:00:00 +0000 UTC,44.41309,26.1142,"Bucharest, Romania",1970-01-01 00:00:00 +0000 UTC,44.41308,26.11416,"Bucharest, Romania",0,0,RON
Bucharest,Comfort,COMPLETED,2023-08-04 21:41:23 +0000 UTC,2023-08-04 21:45:11 +0000 UTC,44.426617,26.106596,"Bulevardul Unirii 32, București, Romania",2023-08-04 21:50:20 +0000 UTC,44.435265,26.12554,"Strada Țepeș Vodă nr. 68-70, București 021526, Romania",1.53,14,RON
Bucharest,Black,COMPLETED,2023-08-04 18:03:06 +0000 UTC,2023-08-04 18:09:38 +0000 UTC,44.435272,26.125656,"Strada Țepeș Vodă 66, București 030167, Romania",2023-08-04 18:25:57 +0000 UTC,44.42636,26.106808,"Bulevardul Unirii nr. 30, București 040042, Romania",2.38,26.6,RON
Bucharest,UberX,COMPLETED,2023-08-04 12:28:47 +0000 UTC,2023-08-04 12:32:18 +0000 UTC,44.43565,26.106243,"Bulevardul Hristo Botev 6, București 030167, Romania",2023-08-04 12:58:09 +0000 UTC,44.43526,26.126188,"Strada Țepeș Vodă nr. 68-70, București 021526, Romania",3.5,32.77,RON
Bucharest,Comfort,COMPLETED,2023-08-04 05:48:38 +0000 UTC,2023-08-04 05:55:20 +0000 UTC,44.435364,26.125402,"Str. Popa Nan 62, București 030167, Romania",2023-08-04 06:01:52 +0000 UTC,44.440113,26.10846,"UTI Business Center, Strada Vasile Lascăr 31, București 030167, Romania",1.17,14,RON
Bucharest,Comfort,COMPLETED,2023-08-03 18:40:28 +0000 UTC,2023-08-03 18:45:10 +0000 UTC,44.40562,26.142096,"Calea Vitan 287, București 077160, Romania",2023-08-03 18:56:01 +0000 UTC,44.43528,26.12568,"Strada Țepeș Vodă nr. 68-70, București 021526, Romania",3.36,14,RON
